tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
11.9,8.6,15.1,6.1,,181.0,13.6,,,
10.2,8.5,11.3,7.1,,182.0,9.1,,999.6,
10.5,8.1,13.0,0.3,,223.0,14.8,,997.9,
12.0,10.2,14.8,1.0,,231.0,16.5,,998.8,
11.7,9.0,13.9,,,225.0,14.3,,1001.5,
7.4,5.6,11.0,4.1,,236.0,17.5,,1001.5,
7.3,6.1,9.1,1.8,,257.0,15.9,,998.7,
7.9,4.7,11.1,,,247.0,11.3,,1007.1,
8.6,7.3,10.6,1.3,,262.0,6.8,,1008.0,
8.1,6.0,9.8,0.8,,78.0,19.8,,1007.6,
4.4,3.2,5.8,11.9,,52.0,21.8,,1002.4,
3.6,2.5,5.8,9.4,,20.0,17.3,,1002.6,
4.0,1.4,7.2,,,40.0,12.9,,1015.9,
3.3,2.2,4.3,,,83.0,29.4,,1011.6,
4.9,3.4,6.5,10.9,,76.0,16.6,,997.8,
9.4,5.7,14.5,3.8,,192.0,8.7,,998.7,
10.2,9.5,10.9,9.9,,92.0,8.1,,999.1,
8.7,7.7,9.9,1.3,,39.0,13.1,,1001.2,
5.8,,,,,,,,,
5.1,3.7,6.6,1.5,,82.0,11.4,,1010.3,
7.8,5.4,10.4,,,123.0,17.8,,1005.8,
8.8,7.8,10.7,10.2,,198.0,12.6,,993.5,
7.4,5.2,11.5,3.0,,261.0,10.7,,996.0,
9.4,6.1,14.0,,,257.0,15.2,,1011.7,
11.4,7.4,15.5,1.3,,,,,,
13.1,11.2,16.1,,,203.0,11.0,,1020.5,
14.9,11.4,21.1,,,149.0,12.5,,1010.9,
10.8,7.9,13.8,2.8,,220.0,17.2,,1010.5,
9.0,6.5,11.3,8.1,,247.0,21.9,,1002.7,
7.8,4.2,12.0,,,224.0,20.3,,1008.0,
11.9,9.3,14.1,1.5,,228.0,20.2,,1001.1,
8.6,6.3,12.0,1.5,,235.0,16.4,,999.2,
8.2,4.8,12.1,1.5,,283.0,16.8,,1017.6,
12.3,7.6,17.5,,,255.0,14.4,,1013.2,
10.1,8.3,12.8,0.5,,292.0,20.7,,1013.9,
9.3,7.0,11.7,,,349.0,15.1,,1026.8,
9.2,5.7,12.6,,,,6.2,,,
7.3,4.9,9.8,,,62.0,14.3,,1032.1,
6.6,2.0,11.4,,,,11.2,,1026.7,
9.5,6.4,11.4,3.8,,303.0,17.4,,1012.4,
